  opid  |              opbl              |     cont      | medida | condicion |   autorizado   |     inicio     |     inicio     |     cierre     |          conocimiento          |                         descripcion                          | bultos |   peso   | volumen | fotosc | fotosm | mc | imo | cantidad_operarios | maq |        operador        | idcont | egresoid | idencode | idegresoencode 
  32595 | 246176860                      | MRSU 568114-0 |     40 | PIER      | 19-12-24 18:01 | 20-12-24 14:48 | 23-12-24 11:33 | 23-12-24 11:33 | HBOL3403                       | ASTILLERO RENOSTO                                            |    105 |     5811 |      60 |      0 |     20 |  1 |   0 |                    |     | Nicolas Nuñez          |   1062 |      148 | MTA2Mg== | MTQ4
  32575 | 246176870                      | FFAU 564820-0 |     40 | PIER      | 19-12-24 10:11 | 19-12-24 11:09 | 19-12-24 12:22 | 19-12-24 12:26 | HBOL3401                       | LOPEZ GUILLERMO / MOTORCYCLE HONDA                           |      1 |      300 |       5 |      0 |     12 |  0 |   0 |                    |     | Nicolas Nuñez          |   1056 |      149 | MTA1Ng== | MTQ5
  32575 | 246176870                      | FFAU 564820-0 |     40 | PIER      | 19-12-24 10:11 | 19-12-24 11:09 | 19-12-24 12:22 | 19-12-24 12:26 | HBOL3400                       | LOPEZ GUILLERMO / AUTOMOBILE CHEVROLET                       |      1 |     1691 |      10 |      8 |     26 |  0 |   0 |                    |     | Nicolas Nuñez          |   1056 |      150 | MTA1Ng== | MTUw
  32524 | 245709409                      | MSKU 703187-9 |     20 | PIER      | 17-12-24 18:41 | 18-12-24 11:44 | 18-12-24 12:04 | 18-12-24 13:45 | MVANLT020240511                | LAZIC VELJKO / EFECTOS PERSONALES                            |    118 |     1860 |      15 |      6 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |   1047 |      151 | MTA0Nw== | MTUx
  32306 | HLCUME3240924106               | HLBU 105790-0 |     40 | PIER      | 06-12-24 10:01 | 06-12-24 18:22 | 06-12-24 18:29 | 06-12-24 18:43 | LIFBUE24120003                 | NIETO PABLO                                                  |    202 |     3969 |      46 |      0 |     12 |  0 |   0 |                    |     | Nicolas Nuñez          |   1015 |      152 | MTAxNQ== | MTUy
  32430 | 245172558                      | MRKU 036072-0 |     40 | PIER      | 13-12-24 15:11 | 16-12-24 14:18 | 16-12-24 14:27 | 16-12-24 14:31 | OH-24100092                    | MOTO HARLEY 2009                                             |      1 |      375 |       3 |      6 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |   1040 |      153 | MTA0MA== | MTUz
  32430 | 245172558                      | MRKU 036072-0 |     40 | PIER      | 13-12-24 15:11 | 16-12-24 14:18 | 16-12-24 14:27 | 16-12-24 14:31 | OH-24120009                    | AUTO - MERCEDES BENZA SL                                     |      1 |     1787 |      11 |      6 |     12 |  0 |   0 |                    |     | Nicolas Nuñez          |   1040 |      154 | MTA0MA== | MTU0
  32501 | GSZBUE24100624                 | MSMU 809267-4 |     40 | PIER      | 17-12-24 12:31 | 19-12-24 08:23 | 19-12-24 08:24 | 19-12-24 08:26 | GSZBUE24100624                 | BOTONES Y CIERRES                                            |   1995 |    27428 |      65 |      4 |      6 |  0 |   0 |                    |     | Nicolas Nuñez          |   1046 |      155 | MTA0Ng== | MTU1
  32653 | SAA240902593                   | CSNU 784776-4 |     40 | PIER      | 26-12-24 10:21 | 26-12-24 11:13 | 26-12-24 12:26 | 26-12-24 16:06 | SAA240902593                   | KAWAI DIGITAL PIANO                                          |    231 |     6228 |      48 |      0 |     26 |  1 |   0 |                    |     | Franco Perez           |   1069 |      156 | MTA2OQ== | MTU2
  32224 | HLCUGY3240923352               | SEKU 141350-6 |     20 | PIER      | 03-12-24 09:40 | 03-12-24 11:11 | 03-12-24 11:22 | 03-12-24 11:30 | LIFBUE24120002                 | YEPEZ XAVIER  / EFECTOS PERSONALES                           |     79 |     1670 |      18 |      0 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |    985 |      157 | OTg1     | MTU3
  32430 | 245172558                      | MRKU 036072-0 |     40 | PIER      | 13-12-24 15:11 | 16-12-24 14:18 | 16-12-24 14:27 | 16-12-24 14:31 | OH-24120010                    | MUDANZA - FORTINI                                            |     71 |     4800 |      24 |      6 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |   1040 |      158 | MTA0MA== | MTU4
  31423 | ONEYSAOE46561800               | KKTU 786674-6 |     20 | PIER      | 22-10-24 11:40 | 22-10-24 18:01 | 22-10-24 18:05 | 22-10-24 18:07 | LIFBUE24100013                 | MUDANZA - FERNANDEZ SELENA                                   |    128 |     1560 |      26 |      0 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |    815 |      159 | ODE1     | MTU5
  31403 | TPNGBSG24086038                | FAMU 889344-8 |     20 | PIER      | 21-10-24 09:20 | 21-10-24 12:10 | 21-10-24 14:02 | 21-10-24 15:45 | TPNGBSG24086038                | ARO DE TEFLON                                                |     22 |    10682 |      25 |      0 |      6 |  1 |   0 |                  0 |   1 | Franco Perez           |    801 |      160 | ODAx     | MTYw
  32312 | TPNGBSG24106008                | ZIMU 143152-6 |     20 | PIER      | 06-12-24 08:50 | 06-12-24 10:44 | 06-12-24 10:49 | 06-12-24 10:49 | TPNGBSG24106008                | VALVE PARTS                                                  |     24 |    21848 |   25.21 |      0 |     10 |  1 |   0 |                    |     | Gabriel Jurado         |   1019 |      161 | MTAxOQ== | MTYx
  32685 | MEDUDO445891                   | MSMU 896457-1 |     40 | PIER      | 30-12-24 13:51 | 02-01-25 15:54 | 02-01-25 16:08 | 02-01-25 16:36 | GSP/2024-25/009                | MUDANZA - VILLEGAS BARDO                                     |     60 |      700 |      10 |      0 |      6 |  0 |   0 |                    |     | Gabriel Jurado         |   1070 |      162 | MTA3MA== | MTYy
  32685 | MEDUDO445891                   | MSMU 896457-1 |     40 | PIER      | 30-12-24 13:51 | 02-01-25 15:54 | 02-01-25 16:08 | 02-01-25 16:36 | GSP//2024-25/008               | MOTO HARLEY DAVIDSON - VILLEGAS BARDO                        |      1 |      250 |       2 |      0 |     12 |  0 |   0 |                    |     | Gabriel Jurado         |   1070 |      163 | MTA3MA== | MTYz
  32685 | MEDUDO445891                   | MSMU 896457-1 |     40 | PIER      | 30-12-24 13:51 | 02-01-25 15:54 | 02-01-25 16:08 | 02-01-25 16:36 | GSP//2024-25/007               | TOYOTA LAND CRUISER - VILLEGAS BARDO                         |      1 |     2160 |       6 |      0 |     32 |  1 |   0 |                    |     | Gabriel Jurado         |   1070 |      164 | MTA3MA== | MTY0
  32717 | TCNB2411014                    | TLLU 486004-9 |     40 | PIER      | 02-01-25 12:51 | 03-01-25 10:33 | 03-01-25 10:42 | 03-01-25 13:39 | TCNB2411014                    | BRUSH CUTTER                                                 |    325 |     6500 |      69 |      6 |      4 |  0 |   0 |                    |     | Franco Perez           |   1109 |      165 | MTEwOQ== | MTY1
  32717 | TCNB2411014                    | ZCSU 658827-3 |     40 | PIER      | 02-01-25 12:51 | 03-01-25 12:03 | 03-01-25 12:28 | 03-01-25 13:39 | TCNB2411014                    | BRUSH CUTTER                                                 |    325 |     6500 |      69 |      0 |      4 |  1 |   0 |                    |     | Franco Perez           |   1110 |      166 | MTExMA== | MTY2
  32570 | IBC1268388                     | TRHU 170051-7 |     20 | PIER      | 19-12-24 10:31 | 20-12-24 12:21 | 20-12-24 12:24 | 20-12-24 13:46 | MVANAM12112024                 | MARTIN OLIVARES                                              |     85 |     1738 |      16 |      0 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |   1055 |      167 | MTA1NQ== | MTY3
  32713 | HLCUBSC241147114               | GCXU 218638-7 |     20 | PIER      | 02-01-25 15:01 | 02-01-25 17:49 | 02-01-25 17:51 | 02-01-25 17:52 | 66649510                       | ETCHEBARNE RODRIGO                                           |     14 |      871 |      14 |      6 |      8 |  0 |   0 |                    |     | Gabriel Jurado         |   1107 |      168 | MTEwNw== | MTY4
  32233 | HLCUBSC2409AZKM3               | UACU 849019-6 |     40 | PIER      | 03-12-24 09:40 | 04-12-24 11:09 | 04-12-24 11:11 | 04-12-24 11:29 | LIFBUE24110010                 | KRISTEN LANCE                                                |    228 |     4018 |      45 |      0 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |    992 |      169 | OTky     | MTY5
  32787 | QGD1304271B                    | GESU 669306-2 |     40 | PIER      | 06-01-25 09:31 | 07-01-25 13:40 | 08-01-25 14:55 | 08-01-25 15:01 | QGD1304271B                    | RAYMOND MILL                                                 |     70 |    21780 |     500 |      6 |     14 |  1 |   0 |                    |     | Gabriel Jurado         |   1153 |      170 | MTE1Mw== | MTcw
  32742 | QGD1304271A                    | TGHU 639047-5 |     40 | PIER      | 03-01-25 16:21 | 07-01-25 09:28 | 07-01-25 18:25 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |      5 |    10390 |      50 |      0 |      8 |  1 |   0 |                    |     | Gabriel Jurado         |   1144 |      171 | MTE0NA== | MTcx
  32742 | QGD1304271A                    | TRHU 654448-5 |     40 | PIER      | 03-01-25 16:21 | 06-01-25 19:04 | 06-01-25 20:56 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |     53 |      980 |      50 |      0 |     14 |  1 |   0 |                    |     | Gabriel Jurado         |   1145 |      172 | MTE0NQ== | MTcy
  32742 | QGD1304271A                    | CMAU 915030-4 |     40 | PIER      | 03-01-25 16:21 | 06-01-25 19:28 | 06-01-25 20:56 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |     27 |    22130 |      50 |     22 |     10 |  1 |   0 |                    |     | Gabriel Jurado         |   1143 |      173 | MTE0Mw== | MTcz
  31949 | 148514004514                   | MSMU 646282-5 |     40 | PIER      | 19-11-24 11:10 | 20-11-24 09:27 | 20-11-24 10:05 | 20-11-24 10:25 | 148514004514                   | SYNTHETIC ORGANIC                                            |     40 |    20425 |      35 |      6 |     16 |  1 |   1 |                    |     | Gabriel Jurado         |    938 |      174 | OTM4     | MTc0
  32742 | QGD1304271A                    | CMAU 699215-0 |     40 | PIER      | 03-01-25 16:21 | 07-01-25 09:28 | 07-01-25 15:47 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |     45 |     9160 |      50 |      0 |     10 |  1 |   0 |                    |     | Gabriel Jurado         |   1140 |      175 | MTE0MA== | MTc1
  32742 | QGD1304271A                    | CMAU 511015-5 |     40 | PIER      | 03-01-25 16:21 | 06-01-25 15:19 | 07-01-25 13:37 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |     40 |    25710 |      50 |      0 |      4 |  1 |   0 |                    |     | Gabriel Jurado         |   1138 |      176 | MTEzOA== | MTc2
  32731 | 247183120                      | MRKU 463099-5 |     40 | PIER      | 02-01-25 15:51 | 06-01-25 14:03 | 06-01-25 14:15 | 06-01-25 14:15 | HB107580CMG-3                  | MOTO - BOURGUIGNE                                            |      1 |      462 |       5 |      0 |      6 |  0 |   0 |                    |     | Nicolas Nuñez          |   1124 |      177 | MTEyNA== | MTc3
  32731 | 247183120                      | MRKU 463099-5 |     40 | PIER      | 02-01-25 15:51 | 06-01-25 14:03 | 06-01-25 14:15 | 06-01-25 14:15 | HB107580CMG-2                  | ATO - BOURGUIGNE                                             |      1 |     1750 |       5 |      6 |      6 |  0 |   0 |                    |     | Nicolas Nuñez          |   1124 |      178 | MTEyNA== | MTc4
  32741 | EID0827485                     | TCNU 414607-2 |     40 | PIER      | 03-01-25 15:21 | 06-01-25 14:52 | 06-01-25 15:02 | 06-01-25 15:02 | EID0827485                     | HILOA TEXTIL                                                 |    470 |    23876 |      40 |      0 |     16 |  1 |   0 |                    |     | Franco Perez           |   1136 |      179 | MTEzNg== | MTc5
  32734 | BL2418159                      | MRSU 484812-5 |     40 | PIER      | 03-01-25 14:51 | 06-01-25 14:31 | 06-01-25 14:50 | 06-01-25 14:58 | BL2418159                      | MAQUINARIA DE ENFILAR Y DESENFILAR                           |      4 |     3950 |      50 |     24 |     12 |  0 |   0 |                    |     | Nicolas Nuñez          |   1128 |      180 | MTEyOA== | MTgw
  32313 | TCSH2410154A/B                 | DRYU 971557-0 |     40 | PIER      | 13-12-24 11:51 | 16-12-24 13:39 | 16-12-24 14:17 | 16-12-24 18:20 | TCSH2410154A                   | ATORNILLADOR A BATERIA                                       |    250 |     1875 |       8 |      0 |      6 |  0 |   0 |                    |     | Gabriel Jurado         |   1020 |      181 | MTAyMA== | MTgx
  32313 | TCSH2410154A/B                 | DRYU 971557-0 |     40 | PIER      | 13-12-24 11:51 | 16-12-24 13:39 | 16-12-24 14:17 | 16-12-24 18:20 | TCSH2410154B                   | CRIQUE,CABALLETES Y CAMILLAS                                 |   1643 |    23984 |      56 |      0 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |   1020 |      182 | MTAyMA== | MTgy
  32737 | IBC1268467                     | TEMU 003450-0 |     20 | PIER      | 03-01-25 13:01 | 03-01-25 17:44 | 03-01-25 20:45 | 06-01-25 09:28 | 1268467B                       | DI LISCIA SOL / MERCEDES BENZ SL55                           |      1 |     1805 |       5 |      0 |      4 |  0 |   0 |                    |     | Nicolas Nuñez          |   1127 |      183 | MTEyNw== | MTgz
  32283 | MEDUQW539520                   | MSDU 215378-1 |     20 | PIER      | 05-12-24 14:51 | 06-12-24 14:10 | 06-12-24 16:54 | 06-12-24 17:00 | MEDUQW539520                   | TRICHLOROSOCYANURIC                                          |    448 |    24416 |      21 |      0 |      4 |  0 |   0 |                    |     | Franco Perez           |   1007 |      184 | MTAwNw== | MTg0
  32731 | 247183120                      | MRKU 463099-5 |     40 | PIER      | 02-01-25 15:51 | 06-01-25 14:03 | 06-01-25 14:15 | 06-01-25 14:15 | HB107580CMG-1                  | MUDANZA - BOURGUIGNE LUCIA                                   |    136 |     2885 |      30 |      0 |     16 |  0 |   0 |                    |     | Nicolas Nuñez          |   1124 |      185 | MTEyNA== | MTg1
  32412 | EGLV141401050071               | EGHU 352544-3 |     20 | PIER      | 11-12-24 15:21 | 12-12-24 10:22 | 12-12-24 16:39 | 12-12-24 16:44 | EGLV141401050071               | DICLORO, TRICLORO                                            |    448 |    23966 |      30 |      6 |     16 |  0 |   1 |                    |     | Franco Perez           |   1030 |      186 | MTAzMA== | MTg2
  32799 | HLCUBSC2411BJSS5               | FCIU 746561-1 |     40 | PIER      | 06-01-25 17:51 | 06-01-25 19:30 | 06-01-25 20:27 | 07-01-25 13:57 | SEA007594                      | MUDANZA - DEL PINO NICOLAS                                   |    332 |     5312 |      51 |      6 |     12 |  0 |   0 |                    |     | Nicolas Nuñez          |   1157 |      187 | MTE1Nw== | MTg3
  32698 | TCSH2410132                    | ZCSU 713684-8 |     40 | PIER      | 30-12-24 11:51 | 30-12-24 17:18 | 02-01-25 09:46 | 02-01-25 10:01 | TCSH2410132                    | GASOLINE GENERATOR                                           |    357 |    21096 |      60 |      0 |      6 |  1 |   0 |                    |     | Franco Perez           |   1087 |      188 | MTA4Nw== | MTg4
  32686 | TCSH2410007                    | FCBU 020230-4 |     20 | PIER      | 27-12-24 18:31 | 30-12-24 14:04 | 30-12-24 14:05 | 30-12-24 16:03 | TCSH2410007                    | ASPIRADORAS                                                  |    192 |     1720 |      21 |      0 |      4 |  0 |   0 |                    |     | Claudio Estigarribia   |   1071 |      189 | MTA3MQ== | MTg5
  32686 | TCSH2410007                    | ZCSU 790636-3 |     40 | PIER      | 27-12-24 18:31 | 30-12-24 14:07 | 30-12-24 17:16 | 30-12-24 17:16 | TCSH2410007                    | ASPIRADORAS                                                  |   1221 |     7365 |   69.32 |      0 |     44 |  0 |   0 |                    |     | Gabriel Jurado         |   1072 |      190 | MTA3Mg== | MTkw
  32838 | TWLE24100081                   | KOCU 434678-6 |     40 | PIER      | 08-01-25 18:21 | 09-01-25 11:45 | 10-01-25 13:20 | 10-01-25 13:21 | TWLE24100081                   | TELAS                                                        |   1007 |    23731 |      68 |     10 |      8 |  0 |   0 |                    |     | Franco Perez           |   1167 |      191 | MTE2Nw== | MTkx
  32742 | QGD1304271A                    | TCLU 829538-0 |     40 | PIER      | 03-01-25 16:21 | 06-01-25 15:16 | 06-01-25 20:55 | 07-01-25 19:03 | QGD1304271A                    | OTHER LIFTING                                                |     15 |    12900 |      50 |      0 |     14 |  1 |   0 |                    |     | Gabriel Jurado         |   1142 |      192 | MTE0Mg== | MTky
  32708 | TCSH2410265A/B/C               | ZCSU 748314-8 |     40 | PIER      | 02-01-25 14:21 | 06-01-25 11:41 | 06-01-25 13:40 | 06-01-25 14:12 | TCSH2410265A                   | SPARE PARTS MECHANIC TOOLS                                   |   1452 |    25903 |      51 |      0 |      2 |  1 |   0 |                  4 |   1 | Franco Perez           |   1098 |      193 | MTA5OA== | MTkz
  32708 | TCSH2410265A/B/C               | ZCSU 748314-8 |     40 | PIER      | 02-01-25 14:21 | 06-01-25 11:41 | 06-01-25 13:40 | 06-01-25 14:12 | TCSH2410265C                   | IMPACT DRILL SPARE PARTS                                     |      4 |       42 |       1 |      6 |      2 |  0 |   0 |                  4 |   1 | Franco Perez           |   1098 |      194 | MTA5OA== | MTk0
  32714 | TCXM2411016A/B                 | TEMU 725533-3 |     40 | PIER      | 02-01-25 14:01 | 03-01-25 18:46 | 03-01-25 20:02 | 06-01-25 09:24 | TCXM2411016B                   | SPARE PARTS                                                  |      1 |       13 |       1 |      0 |      4 |  0 |   0 |                    |     | Franco Perez           |   1100 |      195 | MTEwMA== | MTk1
  32708 | TCSH2410265A/B/C               | ZCSU 748314-8 |     40 | PIER      | 02-01-25 14:21 | 06-01-25 11:41 | 06-01-25 13:40 | 06-01-25 14:12 | TCSH2410265B                   | OUTDOOR SEATING                                              |      1 |      250 |       3 |      0 |      2 |  0 |   0 |                  4 |   1 | Franco Perez           |   1098 |      196 | MTA5OA== | MTk2
  32891 | 247812874                      | SUDU 683920-7 |     40 | PIER      | 13-01-25 10:31 | 13-01-25 15:00 | 13-01-25 15:39 | 13-01-25 16:11 | HBOL3446                       | AVANCINI CAMILA / AUTOMOBILE PORCHE                          |      1 |     1425 |       5 |      0 |     22 |  0 |   0 |                    |     | Nicolas Nuñez          |   1195 |      197 | MTE5NQ== | MTk3
  32913 | HLCUBSC241246058               | HLXU 807229-3 |     40 | PIER      | 13-01-25 16:51 | 14-01-25 15:45 | 14-01-25 16:06 | 14-01-25 16:25 | PEVARBUE-3892                  | AUTO VOLVO XC60 - YEARS 2012                                 |      1 |     1800 |       5 |      0 |     22 |  0 |   0 |                    |     | Nicolas Nuñez          |   1200 |      198 | MTIwMA== | MTk4
  32920 | 245947862                      | MRSU 622371-2 |     40 | PIER      | 13-01-25 18:21 | 14-01-25 16:10 | 14-01-25 16:23 | 14-01-25 16:26 | SRTM00026760B                  | ROFFO FRANCISCO / PORCHE 911                                 |      1 |     1455 |       5 |      0 |     26 |  0 |   0 |                    |     | Nicolas Nuñez          |   1206 |      199 | MTIwNg== | MTk5
  32913 | HLCUBSC241246058               | HLXU 807229-3 |     40 | PIER      | 13-01-25 16:51 | 14-01-25 15:45 | 14-01-25 16:06 | 14-01-25 16:25 | PEVARBUE-3893                  | MOTO HARLEY DAVIDSON                                         |      1 |      268 |       5 |      6 |     22 |  0 |   0 |                    |     | Nicolas Nuñez          |   1200 |      200 | MTIwMA== | MjAw
  32747 | EGLV14140150127                | EMCU 612431-0 |     20 | PIER      | 03-01-25 15:01 | 07-01-25 15:10 | 07-01-25 17:41 | 07-01-25 18:01 | EGLV14140150127                | TABLETAS                                                     |    448 |    24416 |       0 |      0 |     18 |  0 |   1 |                    |     | Franco Perez           |   1148 |      201 | MTE0OA== | MjAx
  32891 | 247812874                      | SUDU 683920-7 |     40 | PIER      | 13-01-25 10:31 | 13-01-25 15:00 | 13-01-25 15:39 | 13-01-25 16:11 | HBOL3445                       | GORRISSEN MIGUEL  / AUTOMOBILE MERCEDES BENZ                 |      1 |     2583 |       5 |      6 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |   1195 |      202 | MTE5NQ== | MjAy
  32701 | HLCUME3241045330               | UACU 407895-6 |     20 | PIER      | 30-12-24 17:11 | 02-01-25 19:58 | 02-01-25 19:59 | 02-01-25 20:00 | LIFBUE24120008                 | ECHEVERZ JOSE                                                |    111 |     2725 |      28 |      4 |      4 |  0 |   0 |                    |     | Gabriel Jurado         |   1091 |      203 | MTA5MQ== | MjAz
  32707 | HLCUME3241120058               | HLBU 357377-8 |     20 | PIER      | 30-12-24 18:21 | 02-01-25 17:56 | 02-01-25 17:58 | 02-01-25 18:14 | LIFBUE24120016                 | HERNANDEZ FELIPE                                             |     65 |     1321 |      20 |      6 |      8 |  0 |   0 |                  0 |   1 | Gabriel Jurado         |   1096 |      204 | MTA5Ng== | MjA0
  32711 | TCNB2410541                    | ZCSU 707134-6 |     40 | PIER      | 02-01-25 12:31 | 03-01-25 18:44 | 03-01-25 20:06 | 06-01-25 09:27 | TCNB2410541                    | ELECTRIC GRASS TRIMMER                                       |   1267 |    10240 |   66.32 |      6 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |   1105 |      205 | MTEwNQ== | MjA1
  32913 | HLCUBSC241246058               | HLXU 807229-3 |     40 | PIER      | 13-01-25 16:51 | 14-01-25 15:45 | 14-01-25 16:06 | 14-01-25 16:25 | PEVARBUE-3891                  | QUIROGA / EFECTOS PERSONALES                                 |    196 |     5622 |      35 |      0 |     22 |  0 |   0 |                    |     | Nicolas Nuñez          |   1200 |      206 | MTIwMA== | MjA2
  32696 | GILSH240900041                 | MSDU 436374-5 |     40 | PIER      | 30-12-24 10:51 | 07-01-25 15:17 | 07-01-25 15:55 | 07-01-25 15:56 | GILSH240900041                 |         MOTOR KIT                                            |   1506 |    16670 |    56.5 |      0 |     16 |  1 |   0 |                    |     | Gabriel Jurado         |   1085 |      207 | MTA4NQ== | MjA3
  32891 | 247812874                      | SUDU 683920-7 |     40 | PIER      | 13-01-25 10:31 | 13-01-25 15:00 | 13-01-25 15:39 | 13-01-25 16:11 | HBOL3447                       | AVANICINI ANAHI / EFECTOS PERSONALES                         |      2 |      600 |      10 |     24 |      6 |  0 |   0 |                    |     | Nicolas Nuñez          |   1195 |      208 | MTE5NQ== | MjA4
  32168 | 244576558                      | TCLU 171951-1 |     40 | PIER      | 27-11-24 15:21 | 28-11-24 10:51 | 28-11-24 11:00 | 28-11-24 11:21 | 244576558                      | ALONSO CLEMENTE / EFECTOS PERSONALES                         |    268 |     5510 |      68 |      0 |     10 |  0 |   0 |                    |     | Nicolas Nuñez          |    968 |      209 | OTY4     | MjA5
  32716 | TCSH2410264                    | TLLU 459581-3 |     40 | PIER      | 02-01-25 12:21 | 06-01-25 17:19 | 06-01-25 17:27 | 07-01-25 13:56 | TCSH2410264                    | HIGH PRESSURE WASHER                                         |   1240 |    10720 |   67.67 |      0 |      4 |  0 |   0 |                    |     | Franco Perez           |   1120 |      210 | MTEyMA== | MjEw
  32716 | TCSH2410264                    | WBPU 705626-4 |     40 | PIER      | 02-01-25 12:21 | 06-01-25 19:35 | 06-01-25 19:47 | 06-01-25 21:03 | TCSH2410264                    | HIGH PRESSURE WASHER                                         |   2055 |    12946 |   66.93 |      6 |      4 |  1 |   0 |                    |     | Franco Perez           |   1103 |      211 | MTEwMw== | MjEx
  32716 | TCSH2410264                    | TCLU 815832-5 |     40 | PIER      | 02-01-25 12:21 | 06-01-25 19:04 | 06-01-25 19:05 | 07-01-25 13:57 | TCSH2410264                    | HIGH PRESSURE WASHER                                         |   2048 |    11634 |   64.53 |      0 |      4 |  0 |   0 |                    |     | Nicolas Nuñez          |   1104 |      212 | MTEwNA== | MjEy
  33007 | 247861189                      | MSKU 693073-5 |     40 | PIER      | 17-01-25 15:31 | 17-01-25 16:50 | 17-01-25 17:05 | 17-01-25 17:05 | OH-24120084                    | CORVETTE                                                     |      1 |     1496 |      10 |     34 |     34 |  0 |   0 |                    |     | Nicolas Nuñez          |   1226 |      213 | MTIyNg== | MjEz
  33007 | 247861189                      | MSKU 693073-5 |     40 | PIER      | 17-01-25 15:31 | 17-01-25 16:50 | 17-01-25 17:05 | 17-01-25 17:05 | OH-24120083                    | HARLEY DAVIDSON                                              |      1 |      375 |       3 |      0 |     24 |  0 |   0 |                    |     | Nicolas Nuñez          |   1226 |      214 | MTIyNg== | MjE0
  32745 | TWLE24100054                   | KOCU 434561-9 |     40 | PIER      | 09-01-25 11:51 | 13-01-25 14:05 | 13-01-25 14:06 | 13-01-25 14:13 | TWLE24100054                   | TEXTILE FABRICS                                              |   1006 |    23308 |      68 |      6 |      6 |  0 |   0 |                    |     | Gabriel Jurado         |   1137 |      215 | MTEzNw== | MjE1
  32585 | FE2445055909CHIBUE             | MRKU 848144-1 |     20 | PIER      | 26-12-24 16:01 | 26-12-24 16:15 | 26-12-24 16:52 | 26-12-24 17:24 | FE2445055909CHIBUE             | BATTERY                                                      |     20 |    15284 |      15 |      0 |     18 |  1 |   0 |                    |     | Franco Perez           |   1060 |      216 | MTA2MA== | MjE2
  31950 | MEDUXC429610                   | SZLU 932923-7 |     40 | PIER      | 15-11-24 10:50 | 15-11-24 17:44 | 15-11-24 17:48 | 15-11-24 17:48 | MEDUXC429610                   | PARLANTES                                                    |    854 |     6609 |      65 |      6 |     12 |  1 |   0 |                  0 |   1 | Gabriel Jurado         |    937 |      217 | OTM3     | MjE3
  32744 | ONEYNBOE25891900               | FSCU 582086-6 |     40 | PIER      | 03-01-25 15:11 | 06-01-25 09:20 | 06-01-25 09:23 | 06-01-25 09:24 | ONEYNBOE25891900               | UMBRELLA                                                     |    940 |    11460 |      60 |      0 |     12 |  1 |   0 |                    |     | Gabriel Jurado         |   1133 |      218 | MTEzMw== | MjE4
  32938 | GSZBUE24101914                 | KOCU 428583-9 |     40 | PIER      | 14-01-25 08:51 | 16-01-25 11:43 | 16-01-25 11:45 | 16-01-25 11:45 | GSZBUE24101914                 | IRON JEANS BUTTON                                            |   1746 |    25885 |      68 |      8 |      8 |  0 |   0 |                    |     | Gabriel Jurado         |   1208 |      219 | MTIwOA== | MjE5
  32850 | ZIMUGOA1074581                 | ZCSU 711608-1 |     40 | PIER      | 09-01-25 16:41 | 10-01-25 17:08 | 10-01-25 18:40 | 10-01-25 18:46 | LIFBUE25010005                 | BARTALENA GUIDO                                              |    324 |     5855 |      66 |      0 |     16 |  0 |   0 |                    |     | Nicolas Nuñez          |   1191 |      220 | MTE5MQ== | MjIw
  33094 | MEDUD8794924                   | MSDU 455255-9 |     40 | PIER      | 22-01-25 18:11 | 23-01-25 16:06 | 24-01-25 12:34 | 24-01-25 15:47 | BCN564-3/BUE                   | MOTO TRUMPH DAYTONA                                          |      1 |      388 |       4 |     12 |     30 |  1 |   0 |                    |     | Claudio Estigarribia   |   1239 |      221 | MTIzOQ== | MjIx
  33094 | MEDUD8794924                   | MSDU 455255-9 |     40 | PIER      | 22-01-25 18:11 | 23-01-25 16:06 | 24-01-25 12:34 | 24-01-25 15:47 | BCN564-2/BUE                   | MASERATI                                                     |      1 |     2065 |       5 |      0 |     24 |  1 |   0 |                    |     | Claudio Estigarribia   |   1239 |      222 | MTIzOQ== | MjIy
  33094 | MEDUD8794924                   | MSDU 455255-9 |     40 | PIER      | 22-01-25 18:11 | 23-01-25 16:06 | 24-01-25 12:34 | 24-01-25 15:47 | BCN564-1/BUE                   | MUDANZA -STELLA EMILIANO GASTON                              |    175 |     2947 |      30 |      0 |     26 |  1 |   0 |                    |     | Claudio Estigarribia   |   1239 |      223 | MTIzOQ== | MjIz
  32735 | HLCUBSC241122140               | HAMU 165353-4 |     40 | PIER      | 14-01-25 09:41 | 15-01-25 16:00 | 15-01-25 16:20 | 15-01-25 16:31 | LIFBUE24120010                 | MUDANZA -  MAZA MONICA                                       |    369 |    13000 |      57 |     12 |      8 |  0 |   0 |                    |     | Nicolas Nuñez          |   1131 |      224 | MTEzMQ== | MjI0
